,If you read,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-2752345899464432864,Design Patterns: Progressive Disclosure for Mobile Apps,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Making open source data more available,Shopping app Spring's redesign could be a game-changer,Ordering coffee in Italy: the 10 commandments,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
-2747266787901704910,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Agronegócio mantém crescimento com tecnologia - inova.jor,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Will blockchain drive the fourth Industrial Revolution?,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada
-2740396993975951758,SOA com microserviços - Sensedia,On Orchestrated Microservices - Built to Adapt,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Combining Spring Boot and JDBI,Microservices testing,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
-2720012228333470715,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Measuring email effectiveness in retail banking,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Google researchers teach AIs to see the important parts of images - and tell you about them,Accidental discovery could help batteries last years longer,Will blockchain drive the fourth Industrial Revolution?
-2683134512107439488,Mary Meeker's essential 2016 Internet Trends Report,Making open source data more available,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Shopping app Spring's redesign could be a game-changer,Google researchers teach AIs to see the important parts of images - and tell you about them,The Drive to Bank on Digital
-2667874153709252756,Copel faz propaganda genial sobre o Limite de Banda Larga residencial - Critical Hits,Top 10 Intranet Trends of 2016,Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo),The Physical Web,Powering a more connected and collaborative enterprise,A New Number Format for Computers Could Nuke Approximation Errors for Good
-2584174137395076448,"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",Bradesco vai lançar novo banco digital: o Next.,The next wave in software is open adoption software,The brilliant mechanics of Pokémon Go,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Bot Design Patterns
-2554512494756911972,How enterprise architects can help ensure success with digital transformations,Time to Re-Think Design Thinking,On DRY and the cost of wrongful abstractions,Confirmed: Walmart buys Jet.com for $3B in cash,"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone",Artificial intelligence produces realistic sounds that fool humans
-2549933363319068481,The real reasons you procrastinate - and how to stop,Creating Compound Views on Android,Why Google App Engine rocks: A Google engineer's take,Seria Stranger Things uma obra de arte do algoritmo da Netflix?,The Importance of Code Reviews,Ordering coffee in Italy: the 10 commandments
-2539915991213675511,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Itaú é pioneiro do blockchain,CMN regulamenta abertura de conta de depósito por meio eletrônico,Starbucks tem mais dinheiro do cliente em cartões do que bancos,So you want to sell to banks?,Confused by blockchains? Revolution vs Evolution
-2504825704002833401,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Facebook is open-sourcing its AI bot-building research,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,bliki: StranglerApplication,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
-2479936301516183562,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",The technology behind preview photos,gotwarlost/istanbul,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",bliki: StranglerApplication,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways"
-2447632164766022033,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Top Programming Languages Trends: The Rise of Big Data,Anti-If: The missing patterns,10 Modern Software Over-Engineering Mistakes,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Migrating from Parse to Bluemix
-2440247087447106971,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,Exploring Java's Hidden Costs,Squads não-suicidas - Hipsters #08
-2402288292108892893,Como testar exceções em Java com o JUnit - Code a Test,Java 8 Streams : 10 missing features,Using DiffUtil in Android RecyclerView,Don't document your code. Code your documentation.,Confused by blockchains? Revolution vs Evolution,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR
-2382583983070627054,Artificial intelligence produces realistic sounds that fool humans,Blaise Agüera y Arcas: How computers are learning to be creative,The return of the machinery question,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,Google researchers teach AIs to see the important parts of images - and tell you about them,Transfer Style But Not Color
-2358756719610361882,Custo do Erro - Cinco motivos para investir em automação de testes,10 Modern Software Over-Engineering Mistakes,Como Usar o Git e o GitHub,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,The Broken Window Theory,New MacBook Pro is not a Laptop for Developers Anymore
-2328163218997425612,Quick Tip: Working with the JavaScript Battery API,"The Languages, Frameworks and Tools You Should Learn in 2017",Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,gotwarlost/istanbul,Post: Just Say mNo to Hungarian Notation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello"
-2314360211211303885,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Criadas para casar,#iLookLikeAnEngineer: One Year Later,A importância dos filmes de mulherzinha - Capitolina,Promoting gender equality through emoji �� ��,Empresa britânica adota licença remunerada no período menstrual
-2271000159302779222,The moment when you realize every server in the world is vulnerable - Free Code Camp,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Dark Scrum,Inbox by Gmail ganha formatação de texto | Google Discovery,"Autofill: What web devs should know, but don't",Lists are the new search
-2097075598039554565,"The Languages, Frameworks and Tools You Should Learn in 2017",Quick Tip: Working with the JavaScript Battery API,19 Tips For Everyday Git Use,Standing on the Shoulders of Giants - Built to Adapt,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,bliki: StranglerApplication
-2069509552243850466,Contêiner do Windows no Windows 10,Machine Learning Is No Longer Just for Experts,Containers are not VMs,15 Awesome Sublime Text Plugins For Web Development,Most Interesting APIs in 2016: Cognitive Computing,19 Tips For Everyday Git Use
-2034054811536485879,Aplicação de visão computacional com OpenCV,Kubernetes,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Graph Capabilities with the Elastic Stack,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket,Docker e .Net
-2030742781169834114,Facebook says its new AI is almost as good as humans at understanding context,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",The return of the machinery question,Artificial intelligence produces realistic sounds that fool humans,Google researchers teach AIs to see the important parts of images - and tell you about them,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com"
-1999468346928419252,"Docker - Build, Ship, and Run Any App, Anywhere",DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,Par de alianças impede que seu parceiro assista Netflix sem você,"DevOps security requires new mindset and tools for visibility, automation"
-1995591062742965408,Firebase Test Lab for Android,Why porting an iOS design to Android will not work,Artificial intelligence produces realistic sounds that fool humans,Transfer Style But Not Color,Alecrim/AlecrimCoreData,"A whole new GitHub Universe: announcing new tools, forums, and features"
-1981734999963962468,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Google lags behind Amazon and Microsoft's cloud in one important area,The AI business landscape,Making open source data more available,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,"Hello, TensorFlow!"
-1901742495252324928,Designing smart notifications,Up your app's sharing game with DirectShare - Google Developers,"Google acquires Synergyse, an interactive training service for Google Apps",AI Is Here to Help You Write Emails People Will Actually Read,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Lists are the new search
-1878128207048892154,The Ten Commandments of Egoless Programming,Seniority,Mastering Bash and Terminal,containerd - a core container runtime project for the industry - Docker Blog,The technology behind preview photos,Inteligência artificial da IBM criou 'trailer perfeito' para filme
-1787737696395220629,Laboratório da Disney cria robô que pula,Internet of Things Drives Outcome-Based Business Models,Cubr,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',15 Awesome Sublime Text Plugins For Web Development,Advanced Android Espresso
